game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer
,8/30/2016,,,,,tcsc
Tiny Tina’s Wonderlands,3/25/2022,5/29/2025,6/5/2025,,"2K Games, Gearbox Publishing",Gearbox Software
Limbo,7/21/2010,5/29/2025,6/5/2025,88,"Microsoft Studios, Playdead, 鱼俞","Double Eleven, Playdead, 鱼俞"
Sifu,2/8/2022,5/22/2025,5/29/2025,79,"Microids, Kepler Interactive, Sloclap",Sloclap
Gigapocalypse,7/22/2021,5/22/2025,5/29/2025,,Headup Games,"Headup Games, Goody Gameworks"
Deliver at All Costs,,5/22/2025,5/29/2025,,"Konami Digital Entertainment-US, Konami Entertainment",Far Out Games
Happy Game,10/28/2021,5/15/2025,5/22/2025,,Amanita Design,Amanita Design
Dead Island 2,4/21/2023,5/15/2025,5/22/2025,75,Deep Silver,Dambuster Studios
Touch Type Tale,,5/8/2025,5/15/2025,,Pumpernickel Studio,Pumpernickel Studio
Deadtime Defenders,,5/8/2025,5/15/2025,,Ravenous Games,Ravenous Games
Lego Star Wars: The Skywalker Saga,4/5/2022,5/4/2025,5/5/2025,80,"Microsoft Studios, Warner Bros. Interactive, WB Games",TT Games
Super Space Club,8/4/2023,5/1/2025,5/8/2025,,GrahamOfLegend,GrahamOfLegend
Chuchel,3/7/2018,4/24/2025,5/1/2025,80,Amanita Design,Amanita Design
Albion Online Free Welcome Gift,5/22/2017,4/24/2025,5/1/2025,,Cabbibo,Cabbibo
Firestone Free Offer,8/8/2013,4/17/2025,4/24/2025,,"Sekai Project, Sekai Games",ALICE IN DISSONANCE
Botanicula,4/18/2012,4/17/2025,4/24/2025,82,Amanita Design,Amanita Design
River City Girls,9/4/2019,4/10/2025,4/17/2025,,"Arc System Works, WayForward, Wayforward Technologies, H2 Interactive",WayForward Technologies
Idle Champions of the Forgotten Realms,9/7/2017,4/10/2025,4/17/2025,,Codename Entertainment,Codename Entertainment
Arcadgeddon,1/25/1999,4/10/2025,4/17/2025,,"Team17 Digital, Atari, Hasbro Interactive",Team17 Digital
Cat Quest II,9/23/2019,4/3/2025,4/10/2025,77,"PQube, The Gentlebros Pte","The Gentlebros, The Gentlebros."
"Neko Ghost, Jump!",10/11/2019,3/27/2025,4/3/2025,,Burgos Games,Burgos Games
Cat Quest,8/7/2017,3/27/2025,4/3/2025,77,"PQube, The Gentlebros Pte","The Gentlebros, Pqube, The Gentlebros Pte"
Jurassic World Evolution 2,11/9/2021,3/20/2025,3/27/2025,,Frontier Developments,Frontier Developments
World of Warships: Anniversary Party Favor,4/16/2019,3/13/2025,3/20/2025,82,,Wargaming.net
Mortal Shell,8/18/2020,3/13/2025,3/20/2025,75,PlayStack,"Cold Symmetry, PlayStack"
Them’s Fightin’ Herds,4/30/2020,3/6/2025,3/13/2025,82,"Humble Bundle, Mane6",Mane6
Mages of Mystralia,5/17/2017,2/27/2025,3/6/2025,75,Borealys Games,Borealys Games
World War Z: Aftermath,9/21/2021,2/20/2025,2/27/2025,,Saber Interactive,Saber Interactive
Garden Story,8/11/2021,2/20/2025,2/27/2025,,Picogram,Picogram
F1 Manager 2024,7/23/2024,2/13/2025,2/20/2025,,Frontier Developments,Frontier Developments
Apex Legends: Loba Free Unlock Bundle,10/2/2021,2/13/2025,2/20/2025,,Electronic Arts,Respawn Entertainment
Humankind Standard Edition,,2/6/2025,2/13/2025,,SEGA,Amplitude Studios
Beyond Blue,6/11/2020,2/6/2025,2/13/2025,72,E-Line Media,E-Line Media
Undying,10/19/2021,1/30/2025,2/6/2025,,Vanimals,Vanimals
Behind the Frame: The Finest Scenery,8/17/2021,1/23/2025,1/30/2025,,"Akupara Games, Akatsuki Taiwan","Akupara Games, Silver Lining Studio"
Escape Academy,7/13/2022,1/16/2025,1/23/2025,,"Skybound Games, iam8bit",Coin Crew Games
Turmoil,6/1/2016,1/9/2025,1/16/2025,73,"Plug In Digital, Playdigious, Gamious, Xiamen Leiting Network Technology Co, KiwiClockWork Studios","Gamious, 雷霆游戏, KiwiClockWork Studios"
Hell Let Loose,6/6/2019,1/2/2025,1/9/2025,77,Team17 Digital,Black Matter
